add-none,1,10,20,54414,2720,0
add-none,1,20,40,99701,2492,0
add-none,1,40,80,75393,942,0
add-none,1,80,160,132195,826,0
add-none,1,100,200,95102,475,0
add-none,1,1000,2000,138566,69,0
add-none,1,10000,20000,1113588,55,0
add-none,1,100000,200000,832901,4,0
add-none,2,100,400,130072,325,0
add-none,2,1000,4000,102246,25,0
add-none,2,10000,40000,490948,12,0
add-none,2,100000,400000,1545908,3,0
add-none,4,100,800,134981,168,0
add-none,4,1000,8000,127626,15,1
add-none,4,10000,80000,1030534,12,7
add-none,4,100000,800000,9951488,12,82
add-none,8,100,1600,160900,100,0
add-none,8,1000,16000,226835,14,2
add-none,8,10000,160000,2384675,14,8
add-none,8,100000,1600000,21866840,13,124
add-none,12,100,2400,610573,254,0
add-none,12,1000,24000,611084,25,5
add-none,12,10000,240000,3028084,12,32
add-none,12,100000,2400000,38183964,15,84
add-yield-none,1,10,20,57973,2898,0
add-yield-none,1,20,40,923134,23078,0
add-yield-none,1,40,80,177494,2218,0
add-yield-none,1,80,160,206040,1287,0
add-yield-none,1,100,200,219659,1098,0
add-yield-none,1,1000,2000,1690703,845,0
add-yield-none,1,10000,20000,13687049,684,0
add-yield-none,1,100000,200000,126134595,630,0
add-yield-none,2,10,40,189723,4743,0
add-yield-none,2,20,80,247564,3094,0
add-yield-none,2,40,160,174584,1091,1
add-yield-none,2,80,320,351245,1097,1
add-yield-none,2,100,400,383600,959,1
add-yield-none,2,1000,4000,1516151,379,0
add-yield-none,2,10000,40000,13718078,342,0
add-yield-none,2,100000,400000,137275509,343,1
add-yield-none,4,10,80,221011,2762,1
add-yield-none,4,20,160,239904,1499,1
add-yield-none,4,40,320,400568,1251,1
add-yield-none,4,80,640,531172,829,1
add-yield-none,4,100,800,549824,687,1
add-yield-none,4,1000,8000,4114029,514,1
add-yield-none,4,10000,80000,17611647,220,-1
add-yield-none,4,100000,800000,150067814,187,1
add-yield-none,8,10,160,311592,1947,2
add-yield-none,8,20,320,452491,1414,1
add-yield-none,8,40,640,550464,860,3
add-yield-none,8,80,1280,811650,634,2
add-yield-none,8,100,1600,863812,539,2
add-yield-none,8,1000,16000,5843651,365,1
add-yield-none,8,10000,160000,42641252,266,1
add-yield-none,8,100000,1600000,379635535,237,1
add-yield-none,12,10,240,483504,2014,2
add-yield-none,12,20,480,637200,1327,1
add-yield-none,12,40,960,794168,827,2
add-yield-none,12,80,1920,1064134,554,4
add-yield-none,12,100,2400,1445193,602,3
add-yield-none,12,1000,24000,7892661,328,2
add-yield-none,12,10000,240000,65871275,274,1
add-yield-none,12,100000,2400000,590425053,246,3
add-yield-m,2,100,400,776042,1940,0
add-yield-m,2,1000,4000,6327129,1581,0
add-yield-m,2,10000,40000,59848197,1496,0
add-yield-m,4,100,800,1328896,1661,0
add-yield-m,4,1000,8000,9966120,1245,0
add-yield-m,4,10000,80000,106237546,1327,0
add-yield-m,8,100,1600,4104285,2565,0
add-yield-m,8,1000,16000,25907819,1619,0
add-yield-m,8,10000,160000,262120597,1638,0
add-yield-m,12,100,2400,3859751,1608,0
add-yield-m,12,1000,24000,38832122,1618,0
add-yield-m,12,10000,240000,387650606,1615,0
add-yield-c,2,100,400,385836,964,0
add-yield-c,2,1000,4000,2988827,747,0
add-yield-c,2,10000,40000,29020214,725,0
add-yield-c,4,100,800,695236,869,0
add-yield-c,4,1000,8000,6897841,862,0
add-yield-c,4,10000,80000,59852452,748,0
add-yield-c,8,100,1600,1871080,1169,0
add-yield-c,8,1000,16000,11017528,688,0
add-yield-c,8,10000,160000,131769014,823,0
add-yield-c,12,100,2400,5192133,2163,0
add-yield-c,12,1000,24000,28477456,1186,0
add-yield-c,12,10000,240000,264974802,1104,0
add-yield-s,2,100,400,417589,1043,0
add-yield-s,2,1000,4000,3203625,800,0
add-yield-s,4,100,800,859097,1073,0
add-yield-s,4,1000,8000,6199082,774,0
add-yield-s,8,100,1600,59816634,37385,0
add-yield-s,8,1000,16000,1308670440,81791,0
add-yield-s,12,100,2400,260080653,108366,0
add-yield-s,12,1000,24000,4957751293,206572,0
add-m,1,10000,20000,502108,25,0
add-m,2,10000,40000,2705456,67,0
add-m,4,10000,80000,6066132,75,0
add-m,8,10000,160000,12093461,75,0
add-m,12,10000,240000,18462454,76,0
add-c,1,10000,20000,356908,17,0
add-c,2,10000,40000,3197037,79,0
add-c,4,10000,80000,5526667,69,0
add-c,8,10000,160000,15841295,99,0
add-c,12,10000,240000,22914107,95,0
add-s,1,10000,20000,262990,13,0
add-s,2,10000,40000,2446845,61,0
add-s,4,10000,80000,8944077,111,0
add-s,8,10000,160000,16007898,100,0
add-s,12,10000,240000,45513160,189,0
